contributor,first_deposit_time,first_hour,max_single_deposit_eth,final_weight_eth,approx_points,deposit_count
0xb4e17b37122ecc03385ae090c5040fea8555e471,2026-08-16 21:59:35.000 UTC,2,60,114.972,10722.5,1
0x392a66191156b087ec8c185b1fbb21e9b6d963e4,2026-08-16 20:52:59.000 UTC,0,60,117.744,10851,1
0xd99f65c8952044f84d482509647b192c70c86a04,2026-08-17 06:25:11.000 UTC,10,59.7,93.4305,9665.9,1
0xb6beb9cbeae6d96464711416b00374df35470881,2026-08-18 08:02:23.000 UTC,36,59,59,7681.1,3
0x6490077d2da557a239384b685437940adf77c7c4,2026-08-17 11:20:35.000 UTC,15,56.3,76.5624,8750,1
0x00ae3db5418f6eac5305e72ecc853838e9ed3837,2026-08-17 11:30:11.000 UTC,15,56.2,76.0498,8720.7,1
0x6c5d323a0a1468db7da54f63eada691e43b8f8a7,2026-08-17 03:46:11.000 UTC,7,54.7574,91.5492,9568.1,3
0xfb0d8b94027c5109ae89c5f08b025cc598cf6f49,2026-08-16 20:16:23.000 UTC,0,53.7,103.6578,10181.2,3
0x747a69daed499fac1f9661427cc9a0e3f31746f3,2026-08-17 16:42:35.000 UTC,20,52.8,59.9175,7740.6,2
0xdbd62b8115f0c4065ce4eeb77d9296cb7bfc3913,2026-08-17 03:25:47.000 UTC,7,51,86.0783,9277.8,3
0xc174ec23b7a9765871839cfa9c872123c9b794f2,2026-08-16 20:55:47.000 UTC,0,50.5,99.0052,9950.1,1
0x631f18e4192846574b05246f7349ba6b1e70a016,2026-08-16 22:38:35.000 UTC,2,50,94.275,9709.5,3
0xf64c68967e2be11cea427f0fa6ef18d569d057c6,2026-08-17 03:33:59.000 UTC,7,50,84.195,9175.8,1
0xbd9c944dcfb31cd24c81ebf1c974d950f44e42b8,2026-08-16 21:18:47.000 UTC,1,50,95.9443,9795.1,30
